title,author,publisher,isbn,description,image,link
열두살에 부자가 된 키라 (어린이 경제 동화),보도 섀퍼,을파소(북이십일),9788950990015,"혼자 읽는 것보다 부모가 함께 읽어주는 경제동화.동화라는 형식을 빌어 초등학생에게 돈과 경제의 개념을 알기쉽게 설명한 책. 무리하게 집을 사서 돈에 쪼들리는 엄마, 아빠를 볼 때마다 키라는 속상하다. 그러던 어느날 집앞에서 아파 쓰러져 있는 강아지를 보고 정성껏 돌봐준 키라는 우여곡절끝에 그... ",https://bookthumb-phinf.pstatic.net/cover/001/747/00174729.jpg,http://book.naver.com/bookdb/book_detail.php?bid=174729
마법천자문 1-18권 세트 (전18권),스튜디오 시리얼,북이십일아울북,9788950923297,"마법천자문 1~18권을 하나로 엮은 대망의 마법천자문 세트!

이미지를 통해 한자를 익히는 학습 만화『마법천자문』세트 전18권. 우연히 보리도사를 만나 수제자가 되기로 한 손오공이 대마왕의 손에 마법천자문이 넘어가지 않도록 하기 위해 펼치는 흥미진진한 모험을 올컬러 만화로 그렸다. 한자의 특징 있는... ",https://bookthumb-phinf.pstatic.net/cover/062/709/06270902.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6270902
늑대개 화이트팽,잭 런던,을파소(북이십일),9788950916671,"만화와 영화로 만들어져 100여 년동안 사랑받아 온 동물문학의 걸작!

&lt;을파소 레인보우 북클럽&gt; 제4권 ORANGE BOOK 『늑대개 화이트팽』. 이 책은 100년에 가까운 세월 동안 미국 초등학교 교과서에 빠지지 않고 발췌 수록되어 온 작품입니다. 추운 북극지방을 배경으로, 거친 환경 속에서 잔혹한 삶을 살아온... ",https://bookthumb-phinf.pstatic.net/cover/052/802/05280253.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5280253
언니의 독설 세트 - 전2권 (흔들리는 30대를 위한),,21세기북스(북이십일),6000481216,30대 워킹우먼들을 위한 본격적인 자기계발서. 지난 20여 년간 200만 명의 청중을 만나면서 국민 강사로 자리 잡은 김미경 원장은 29세 때 여성 리더십 강의를 시작해 20여 년 가까이 여성을 리더로 키워온 대표적인 여성 멘토다. 김미경 원장은 이 책을 통해 그동안 현장에서 만난 수많은 워킹우먼들의 고민에... ,https://bookthumb-phinf.pstatic.net/cover/067/066/06706630.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6706630
말괄량이 패티,진 웹스터,을파소(북이십일),9788950916343,"&quot;내 원칙을 꺾고 숙제를 끝내야만 밥을 먹을 수 있다면,
차라리 순교자 루이9세처럼 학교 자습실에 뼈를 묻겠어!&quot;

&lt;레인보우 북클럽&gt; YELLOW BOOK 『말괄량이 패티』완역본. 이 책은 재치있고 씩씩한 주인공 패티를 중심으로, 개성 넘치는 여학생들이 학교 담장 안에서 만들어내는 유쾌, 상쾌... ",https://bookthumb-phinf.pstatic.net/cover/052/589/05258970.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5258970
애로우 잉글리시 전치사 바로잡기 (화살표만 따라가면 저절로 말이 되는 애로우 잉글리시),최재봉,21세기북스(북이십일),9788950929091,전치사를 바로 잡으면 100단어로도 영어가 된다!단어와 단어 사이를 연결해주는 전치사는 문장의 뼈대 역할을 한다. 따라서 전치사의 쓰임을 제대로 안다면 문장을 자유자재로 읽고 이해하는 데 큰 도움이 된다.『애로우 잉글리시 전치사 바로잡기』는 이처럼 중요한 전치사를 집중적으로 바로잡아 원어민처럼... ,https://bookthumb-phinf.pstatic.net/cover/065/938/06593803.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6593803
열두 살 192센티,조앤 바우어,을파소(북이십일),9788950916336,"열두 살, 192센티미터. 하느님, 제발 그만 크게 해주세요!레인보우 북클럽 첫 번째 ORANGE BOOK 『열두 살, 192센티』는 미국 최고의 성장소설 작가 조앤 바우어의 대표작 입니다. 부모의 이혼과 재능에 대한 고민으로 갈등하던 열두 살 키다리 소년 ‘트리’가 자신감을 가지고 당당히 성장하는 모습을... ",https://bookthumb-phinf.pstatic.net/cover/052/589/05258969.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5258969
"마법천자문을 찾아라 3 (한국고전편, 국배판)",아울북 에듀테인먼트연구소,북이십일아울북,9788950919900,"온 가족이 즐기는 한자 게임북!



『마법천자문을 찾아라!』 한국 고전편. 마법천자문 캐릭터와 이야기의 중심 사건, 그리고 작품과 관련 있는 사자성어들을 찾아보는 한자 게임북입니다. 마법천자문 독자들에게 친숙한 단군 신화, 홍길동전, 흥부전, 별주부전, 춘향전, 콩쥐팥쥐전 등의 장면 속에 숨어 있는... ",https://bookthumb-phinf.pstatic.net/cover/062/267/06226792.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6226792
휠체어를 찾고 말겠어,고정욱,을파소(북이십일),9788950913106,"『휠체어를 찾고 말겠어』는 장애인을 소재로 한 작품에서 그 어떤 작가보다 가슴에 콕 와닿게 집필하는 아동작가 고정욱이 집필한 작품으로, 휠체어로 유럽 5개국 횡단, 한일 국토 종단에 성공한 박대운씨의 어린 시절을 담아냈다. 가슴을 뭉클하게 움직이는 그림 또한 이야기를 한층 빛나게 도와준다.
대운이는... ",https://bookthumb-phinf.pstatic.net/cover/043/499/04349934.jpg,http://book.naver.com/bookdb/book_detail.php?bid=4349934
설득의 심리학 세트 - 2권 묶음,로버트 치알디니,21세기북스(북이십일),6000288614,"[세트구성도서]
- &lt;설득의 심리학&gt; 판매가 : 8400원 (할인율 30%)
- &lt;설득의 심리학 2&gt; 판매가 : 10800원 (할인율 10%)

설득의 심리학

다른 사람이 베푼 호의를 그대로 갚아야 한다는 강박관념이 작용하는 상호성의 법칙, 말이나 행동에 일관성을 보여야 한다는 부담을 느낀다는 일관성의 법칙, 예쁘면 모든... ",https://bookthumb-phinf.pstatic.net/cover/048/965/04896518.jpg,http://book.naver.com/bookdb/book_detail.php?bid=4896518
꽃미모 좀비의 일상 과학툰 (빵집에서 과학하기),story 큐,북이십일아울북,9788950978433,"듣도 보도 못한 좀비가 나타났다!
우리 집에 딱 달라붙어 사사건건 앞길을 가로막는 그 녀석! 나의 선택은?

영화, 도서, 게임 등 각종 콘텐츠에서 다루어지고 있는 좀비와 드라큘라. 실제로 이러한 존재들을 만날 것이라고 생각해 본 적이 있는가? 늘 인간들이 사는 세상을 그리워하는 존재들이 눈앞에 나타나... ",https://bookthumb-phinf.pstatic.net/cover/143/364/14336483.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14336483
모질게 토익 뉴토익 실전문제 파트 7,박병재,21세기북스(북이십일),9788950910846,기출변형문제 중심의 기존의 문제집과는 차별화하여 기출변형문제뿐만 아니라 출제 가능성 높은 예상문제와 ETS의 계속 변화하는 출제경향을 고려한 참신한 문제만을 수록한 뉴토익 실전문제집이다. 기출문제 심층분석 결과를 토대로 기출응용문제 8회와 앞으로 출제가능성 높은 문제 7회분을 수록했다. ,https://bookthumb-phinf.pstatic.net/cover/028/805/02880551.jpg,http://book.naver.com/bookdb/book_detail.php?bid=2880551
TOEIC LC 좋은문제 1000제 모질게 풀어보기 (CD-ROM 포함),짐리,북이십일아울북,9788950906962,"토입 중급자 이상을 대상으로 2004년 최신 토익 출제 경향을 반영한 LC 문제집. 중급자 이상 수험생들에게 변화하는 토익 경향에 대비하고 시험 응용력을 높일 수 있는 실전 문제집으로 사진 묘사 문제, 질의 응답 문제, 짧은 대화 문제, 설명문 문제, 틀린 문장 고치기 문제 등 다양한 종류의 문제를... ",https://bookthumb-phinf.pstatic.net/cover/014/728/01472864.jpg,http://book.naver.com/bookdb/book_detail.php?bid=1472864
마법천자문 카드 (1-5번),아울북 편집부,북이십일아울북,9788950910723,"베스트셀러「마법천자문(1~5권)」에 수록됐던 마법천자문 카드를 패키지로 구성한 제품입니다. 카드 한 면에는 한자 한 자가 소개되어 있으며, 다른 한 면에는 한자에 대한 자세한 설명과 함께「마법천자문」시리즈에서의 한자 활용법을 일러주고 있습니다. 수납하기 좋도록, 카드 박스에 담겨 있습니다.... ",https://bookthumb-phinf.pstatic.net/cover/028/848/02884811.jpg,http://book.naver.com/bookdb/book_detail.php?bid=2884811
TOEIC RC 좋은문제 1000제 모질게 풀어보기 (문제집),박병재,북이십일아울북,9788950907600,"기본서 학습을 마친 토익 초중급자를 대상으로 한 RC 실전문제집으로, 2004~2005년의 기출문제를 완전분석, 출제가능성이 높은 예상문제까지 수록한 책이다. 모의고사 10회본인 1000문제를 실었다.

Part 5, 6의 문제만을 담은 여타 RC 문제집과는 달리 독해파트인 Part 7까지 다루고 있어 실용적이다.... ",https://bookthumb-phinf.pstatic.net/cover/019/021/01902175.jpg,http://book.naver.com/bookdb/book_detail.php?bid=1902175
"초등교과서 단어의 비밀 예비초등 세트 (초등 어휘력 완성 프로그램 초단비, 전5권)",아울북 초등교육연구소,북이십일아울북,9788950921354,"미취학 아이를 위한 『초등교과서 단어의 비밀 예비초등 세트』 전5권. 미취학 아이, 그리고 초등 1ㆍ2학년을 위해 초등 교과서에 실린 단어의 비밀을 파헤친다. 초등학교에 들어가기 전에 꼭 알아두어야 할 1.500개의 필수 어휘를 총4권으로 나누어 담았다. 제8차 초등 1ㆍ2학년 교과서의 학습 어휘도 수록하고... ",https://bookthumb-phinf.pstatic.net/cover/061/892/06189251.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6189251
